filename	volume	number	head	normClass	author	text
volume01-1063.tei	01	1063	AFRIQUE	Géographie	Diderot	* AFRIQUE, (Géog.) l'une des quatre parties principales de la Terre. Elle a depuis Tanger jusqu'à Suez environ 800 lieues ; depuis le Cap-verd jusqu'au cap Guardafui 1420; & du cap de Bonne-Espérance jusqu'à Bone 1450. Long. 1-71. lat. mérid. 1-35. & lat. sept. 1-37. 30. On ne commerce gueres que sur les côtes de l'Afrique ; le dedans de cette partie du monde n'est pas encore assez connu, & les Européens n'ont gueres commencé ce commerce que vers le milieu du XIVe siecle. Il y en a peu depuis les Royaumes de Maroc & de Fés jusqu'aux environs du Cap-verd. Les établissemens sont vers ce cap & entre la riviere de Sénégal & de Serrelionne. La côte de Serrelionne est abordée par les quatre Nations : mais il n'y a que les Anglois & les Portugais qui y soient établis. Les Anglois seuls résident près du cap de Misérado. Nous faisons quelque commerce sur les côtes de Malaguette ou de Greve : nous en faisons davantage au petit Dieppe & au grand Sestre. La côte d'Ivoire ou des Dents est fréquentée par tous les Européens ; ils ont presque tous aussi des Habitations & des Forts à la côte d'Or. Le cap de Corse est le principal établissement des Anglois : on trafique peu à Asdres. On tire de Benin & d'Angola beaucoup de Negres. On ne fait rien dans la Cafrerie. Les Portugais sont établis à Sofala, à Mozambique, à Madagascar. Ils font aussi tout le commerce de Melinde. Nous suivrons les branches de ces commerces sous les différens articles  Cap-verd, Sénégal, &c.
volume01-1468.tei	01	1468	AISNE	Géographie	Diderot	* AISNE, (Géog.) riviere de France, qui a sa source en Champagne, & se joint à l'Oise vers Compiegne.
volume01-1789.tei	01	1789	ALLEMAGNE	Géographie	Diderot	* ALLEMAGNE, (Geog.) grand pays situé au milieu de l'Europe, avec titre d'Empire ; borné à l'est par la Hongrie & la Pologne ; au nord par la mer Baltique & le Danemarc ; à l'occident par les Pays-bas, la France & la Suisse ; au midi par les Alpes ou l'Italie, & la Suisse. Il a environ 240. lieues de la mer Baltique aux Alpes, & 200. du Rhin à la Hongrie. Il est divisé en neuf cercles, qui sont l'Autriche, le bas Rhin, le haut Rhin, la Baviere, la haute Saxe, la basse Saxe, la Franconie, la Souabe, & la Westphalie. Lon. 23-37. lat. 46-55. C'est un composé d'un grand nombre d'Etats souverains  & libres, quoique sous un chef commun. On conçoît que cette constitution de gouvernement établissant dans un même Empire une infinité de frontieres  différentes, supposant d'un lieu à un autre des lois différentes, des monnoies d'une autre espece, des denrées appartenantes à des maîtres différens, &c. on conçoit, dis-je, que toutes ces circonstances  doivent mettre beaucoup de variété dans le commerce. En voici cependant le général & le principal  à observer. Pour encourager ses sujets au commerce, l'Empereur a établi le port franc sur la mer Adriatique, par des Compagnies tantôt projettées, tantôt formées dans les Pays-bas ; par des priviléges  particuliers accordés à l'Autriche, à la Hongrie, à la Boheme (Voyez Compagnie & Port), par des Traités avec les Puissances voisines, & sur-tout par le Traité de 1718. avec la Porte, dans lequel il est arrêté que le commerce sera libre aux Allemands dans l'Empire Ottoman ; que depuis Vidin   les Impériaux pourront faire passer leurs marchandises  sur des sacques Turques en Tartarie, en Crimée, &c. que les vaisseaux de l'Empire pourront aborder sur la Méditerranée dans tous les ports de Turquie ; qu'ils seront libres d'établir des Consuls, des Agens, &c. partout où les Alliés de la Porte en ont déjà, & avec les mêmes prérogatives ; que les effets des marchands qui mourront ne seront point confisqués ; qu'aucun marchand ne sera appellé devant  les Tribunaux Ottomans, qu'en présence du Consul Impérial ; qu'ils ne seront aucunement responsables  des dommages causés par les Maltois ; qu'avec passeport ils pourront aller dans toutes les villes du Grand-Seigneur où le commerce les demandera : enfin que les marchands Ottomans auront les mêmes facultés & priviléges dans l'Empire.
volume01-2568.tei	01	2568	ANCUD	Géographie moderne	Diderot	* ANCUD, (Géog. mod.) l'Archipel d'Ancud ou de Chiloé, partie de la mer Pacifique, entre la côte d'Ancude, celle du Chili, & l'île de Chiloé. On lui donne le nom d'Archipel, à cause du grand nombre d'îles dont elle est parsemée.
volume01-4093.tei	01	4093	ARRACIFES	Géographie	Diderot	* ARRACIFES, (Géog.) une des îles des Larrons, dans la mer Pacifique, vers les terres Australes & les îles Philippines.
volume01-4583.tei	01	4583	ATAVILLES	Géographie	Diderot	* ATAVILLES, s. m. pl. (Géog.) peuples du Pérou, dans l'Amérique méridionale, à la source du Xanxa, à quelque distance de la mer Pacifique & de Lima.
volume01-4987.tei	01	4987	AVIQUIRINA	Géographie	Diderot	* AVIQUIRINA, (Géog.) île de l'Amérique septentrionale, dans la mer Pacifique, sur la côte du royaume de Chili, près de la Conception.
volume01-5207.tei	01	5207	AYUTLAN	Géographie	Diderot	* AYUTLAN, (Géog.) riviere de l'Amérique septentrionale, qui passe dans l'audience de Guatimala, sur les confins de la province de ce nom, & de celle de Soamusco, & se jette dans la mer pacifique.
volume01-5235.tei	01	5235	AZIRUTH	Géographie	Diderot	* AZIRUTH (Géographie.) petite ville d'Egypte, sur la côte occidentale de la mer Rouge ; ce n'est presque plus qu'un village.
volume01-5237.tei	01	5237	AZMER	Géographie	Diderot	* AZMER (Géographie.) ville des Indes, dans les états du Mogol, capitale de la province de même nom. On dit qu'à l'extrémité de cette province, les filles se marient à huit ou neuf ans, & ont des enfans  à dix. On y ferre les boeufs. Long. 93. lat. 25. 30.
