link_key,table2_key
0864fb2b-cf5f-4b05-9e6c-bcaa7a5739ca,1
e92b6dfc-6ba5-4d6b-8c4d-8cbcf5beaf40,2
20bc3586-9587-4508-b210-f27dfc89d7f4,3
b9a8dcd2-88f9-4bf9-aee1-3bd2b741c007,4
f98bc22a-dfe2-4125-8d34-098ee87fa57f,5
9fd6c34f-79db-4e8b-b2c5-606a9b814623,6
39efe7ec-92af-4dc7-81a5-da6497e76603,7
789ece60-e507-4499-b4ce-ca1b448682c7,8
0864fb2b-cf5f-4b05-9e6c-bcaa7a5739ca,9
e92b6dfc-6ba5-4d6b-8c4d-8cbcf5beaf40,10
0864fb2b-cf5f-4b05-9e6c-bcaa7a5739ca,11
e92b6dfc-6ba5-4d6b-8c4d-8cbcf5beaf40,12
20bc3586-9587-4508-b210-f27dfc89d7f4,13
